"﻿""Level""",Subject,Student,Age Grade,Lowest Unmastered Grade,Grade Gap,Count
L1,Language,Anon#043,3,2,-1,1
L1,Language,Anon#375,4,3,-1,1
L1,Language,Anon#594,3,2,-1,1
L1,Language,Anon#679,4,2,-2,1
L1,Language,Anon#933,4,3,-1,1
L1,Language,Anon#996,4,1,-3,1
L1,Language,Anon#1024,4,3,-1,1
L1,Language,Anon#1046,3,2,-1,1
L1,Language,Anon#1062,4,3,-1,1
L1,Language,Anon#1491,4,3,-1,1
L1,Language,Anon#1684,4,2,-2,1
L1,Language,Anon#1852,4,3,-1,1
L1,Language,Anon#2402,4,3,-1,1
L1,Language,Anon#2413,4,3,-1,1
L2,Language,Anon#046,5,2,-3,1
L2,Language,Anon#052,5,4,-1,1
L2,Language,Anon#060,5,2,-3,1
L2,Language,Anon#305,4,2,-2,1
L2,Language,Anon#306,4,3,-1,1
L2,Language,Anon#345,6,4,-2,1
L2,Language,Anon#429,6,4,-2,1
L2,Language,Anon#447,6,1,-5,1
L2,Language,Anon#450,5,4,-1,1
L2,Language,Anon#510,6,5,-1,1
L2,Language,Anon#737,6,5,-1,1
L2,Language,Anon#783,6,2,-4,1
L2,Language,Anon#843,5,3,-2,1
L2,Language,Anon#1000,6,4,-2,1
L2,Language,Anon#1030,6,5,-1,1
L2,Language,Anon#1056,5,3,-2,1
L2,Language,Anon#1090,5,4,-1,1
L2,Language,Anon#1099,5,3,-2,1
L2,Language,Anon#1171,5,4,-1,1
L2,Language,Anon#1216,6,3,-3,1
L2,Language,Anon#1276,6,5,-1,1
L2,Language,Anon#1317,6,5,-1,1
L2,Language,Anon#1386,6,4,-2,1
L2,Language,Anon#1587,6,4,-2,1
L2,Language,Anon#1686,7,5,-2,1
L2,Language,Anon#1698,5,4,-1,1
L2,Language,Anon#1761,6,5,-1,1
L2,Language,Anon#1981,6,3,-3,1
L2,Language,Anon#2092,6,3,-3,1
L2,Language,Anon#2099,6,4,-2,1
L2,Language,Anon#2244,5,3,-2,1
L2,Language,Anon#2332,5,4,-1,1
L3,Language,Anon#200,7,6,-1,1
L3,Language,Anon#285,7,6,-1,1
L3,Language,Anon#322,8,7,-1,1
L3,Language,Anon#514,8,6,-2,1
L3,Language,Anon#1017,7,3,-4,1
L3,Language,Anon#1064,7,6,-1,1
L3,Language,Anon#1100,8,4,-4,1
L3,Language,Anon#1485,8,1,-7,1
L3,Language,Anon#1674,8,5,-3,1
L3,Language,Anon#1726,7,6,-1,1
L3,Language,Anon#1903,7,2,-5,1
L3,Language,Anon#2098,8,7,-1,1
L3,Language,Anon#2119,7,6,-1,1
L3,Language,Anon#2203,7,3,-4,1
Linc,Language,Anon#262,2,1,-1,1
L1,Math,Anon#375,4,3,-1,1
L1,Math,Anon#462,4,3,-1,1
L1,Math,Anon#594,3,2,-1,1
L1,Math,Anon#679,4,2,-2,1
L1,Math,Anon#933,4,3,-1,1
L1,Math,Anon#996,4,2,-2,1
L1,Math,Anon#1024,4,2,-2,1
L1,Math,Anon#1046,3,1,-2,1
L1,Math,Anon#1062,4,3,-1,1
L1,Math,Anon#1096,3,1,-2,1
L1,Math,Anon#1491,4,3,-1,1
L1,Math,Anon#1675,4,3,-1,1
L1,Math,Anon#1684,4,3,-1,1
L1,Math,Anon#1920,4,3,-1,1
L1,Math,Anon#2402,4,3,-1,1
L1,Math,Anon#2413,4,3,-1,1
L2,Math,Anon#046,5,3,-2,1
L2,Math,Anon#052,5,3,-2,1
L2,Math,Anon#060,5,1,-4,1
L2,Math,Anon#305,4,3,-1,1
L2,Math,Anon#306,4,3,-1,1
L2,Math,Anon#345,6,3,-3,1
L2,Math,Anon#397,5,3,-2,1
L2,Math,Anon#429,6,3,-3,1
L2,Math,Anon#447,6,1,-5,1
L2,Math,Anon#450,5,4,-1,1
L2,Math,Anon#510,6,5,-1,1
L2,Math,Anon#640,5,4,-1,1
L2,Math,Anon#783,6,2,-4,1
L2,Math,Anon#843,5,3,-2,1
L2,Math,Anon#983,5,4,-1,1
L2,Math,Anon#1030,6,5,-1,1
L2,Math,Anon#1056,5,3,-2,1
L2,Math,Anon#1073,5,3,-2,1
L2,Math,Anon#1090,5,3,-2,1
L2,Math,Anon#1099,5,3,-2,1
L2,Math,Anon#1171,5,4,-1,1
L2,Math,Anon#1216,6,5,-1,1
L2,Math,Anon#1276,6,5,-1,1
L2,Math,Anon#1386,6,3,-3,1
L2,Math,Anon#1587,6,3,-3,1
L2,Math,Anon#1686,7,4,-3,1
L2,Math,Anon#1698,5,4,-1,1
L2,Math,Anon#1761,6,4,-2,1
L2,Math,Anon#1807,5,4,-1,1
L2,Math,Anon#1897,5,4,-1,1
L2,Math,Anon#1981,6,3,-3,1
L2,Math,Anon#2001,6,3,-3,1
L2,Math,Anon#2099,6,4,-2,1
L2,Math,Anon#2198,5,1,-4,1
L2,Math,Anon#2244,5,3,-2,1
L2,Math,Anon#2332,5,4,-1,1
L3,Math,Anon#200,7,4,-3,1
L3,Math,Anon#285,7,5,-2,1
L3,Math,Anon#321,7,6,-1,1
L3,Math,Anon#322,8,6,-2,1
L3,Math,Anon#514,8,4,-4,1
L3,Math,Anon#1017,7,4,-3,1
L3,Math,Anon#1100,8,5,-3,1
L3,Math,Anon#1445,7,6,-1,1
L3,Math,Anon#1710,7,1,-6,1
L3,Math,Anon#1726,7,6,-1,1
L3,Math,Anon#1741,8,7,-1,1
L3,Math,Anon#1803,7,6,-1,1
L3,Math,Anon#1832,8,7,-1,1
L3,Math,Anon#1903,7,1,-6,1
L3,Math,Anon#2119,7,6,-1,1
L3,Math,Anon#2203,7,3,-4,1
L3,Math,Anon#2409,8,6,-2,1
L4.1,Math,Anon#1395,9,8,-1,1
Linc,Math,Anon#791,3,2,-1,1
L1,Reading,Anon#462,4,3,-1,1
L1,Reading,Anon#594,3,1,-2,1
L1,Reading,Anon#837,4,1,-3,1
L1,Reading,Anon#846,4,3,-1,1
L1,Reading,Anon#933,4,3,-1,1
L1,Reading,Anon#996,4,2,-2,1
L1,Reading,Anon#1024,4,3,-1,1
L1,Reading,Anon#1046,3,1,-2,1
L1,Reading,Anon#1062,4,3,-1,1
L1,Reading,Anon#1096,3,1,-2,1
