"﻿""fullname""",subject,Working grade gap
Anon#1302,Reading,7
Anon#1769,Reading,7
Anon#294,Language,6
Anon#1874,Language,6
Anon#1874,Reading,6
Anon#086,Reading,5
Anon#294,Reading,5
Anon#610,Reading,5
Anon#800,Reading,5
Anon#942,Reading,5
Anon#1340,Language,5
Anon#1340,Reading,5
Anon#1345,Reading,5
Anon#1567,Language,5
Anon#1921,Reading,5
Anon#1986,Language,5
Anon#1986,Science,5
Anon#596,Reading,4
Anon#710,Reading,4
Anon#1567,Reading,4
Anon#1768,Reading,4
Anon#1986,Reading,4
Anon#031,Reading,3
Anon#113,Language,3
Anon#153,Reading,3
Anon#221,Language,3
Anon#221,Reading,3
Anon#223,Reading,3
Anon#337,Language,3
Anon#337,Reading,3
Anon#383,Reading,3
Anon#383,Science,3
Anon#439,Language,3
Anon#439,Math,3
Anon#439,Reading,3
Anon#439,Science,3
Anon#588,Reading,3
Anon#606,Reading,3
Anon#634,Reading,3
Anon#650,Language,3
Anon#710,Math,3
Anon#802,Reading,3
Anon#825,Language,3
Anon#825,Reading,3
Anon#830,Reading,3
Anon#875,Language,3
Anon#875,Science,3
Anon#939,Reading,3
Anon#993,Reading,3
Anon#1091,Science,3
Anon#1302,Language,3
Anon#1302,Science,3
Anon#1331,Language,3
Anon#1473,Language,3
Anon#1565,Language,3
Anon#1565,Math,3
Anon#1630,Language,3
Anon#1630,Math,3
Anon#1705,Reading,3
Anon#1769,Language,3
Anon#1828,Language,3
Anon#1889,Reading,3
Anon#1921,Language,3
Anon#1986,Math,3
Anon#2118,Math,3
Anon#2264,Language,3
Anon#2264,Math,3
Anon#2321,Language,3
Anon#2321,Math,3
Anon#2427,Science,3
Anon#014,Language,2
Anon#014,Math,2
Anon#031,Language,2
Anon#061,Reading,2
Anon#067,Reading,2
Anon#077,Math,2
Anon#077,Reading,2
Anon#104,Language,2
Anon#113,Math,2
Anon#113,Reading,2
Anon#184,Language,2
Anon#184,Math,2
Anon#184,Reading,2
Anon#204,Language,2
Anon#204,Math,2
Anon#213,Science,2
Anon#223,Language,2
Anon#248,Reading,2
Anon#248,Science,2
Anon#254,Reading,2
Anon#268,Language,2
Anon#268,Reading,2
Anon#294,Math,2
Anon#294,Science,2
Anon#299,Language,2
Anon#299,Math,2
Anon#299,Reading,2
Anon#304,Language,2
Anon#305,Reading,2
Anon#309,Language,2
Anon#337,Math,2
Anon#364,Math,2
Anon#367,Language,2
Anon#383,Language,2
Anon#383,Math,2
Anon#392,Language,2
Anon#392,Math,2
Anon#392,Reading,2
Anon#393,Language,2
Anon#393,Math,2
Anon#510,Reading,2
Anon#516,Language,2
Anon#516,Math,2
Anon#516,Reading,2
Anon#516,Science,2
Anon#562,Reading,2
Anon#596,Science,2
Anon#606,Language,2
Anon#620,Language,2
Anon#620,Math,2
Anon#620,Reading,2
Anon#621,Language,2
Anon#621,Math,2
Anon#621,Reading,2
Anon#634,Science,2
Anon#637,Language,2
Anon#637,Math,2
Anon#637,Reading,2
Anon#650,Math,2
Anon#650,Reading,2
Anon#718,Language,2
Anon#718,Reading,2
Anon#718,Science,2
Anon#725,Language,2
Anon#725,Math,2
Anon#725,Reading,2
Anon#784,Language,2
Anon#784,Math,2
Anon#784,Reading,2
Anon#789,Language,2
Anon#789,Math,2
Anon#789,Reading,2
Anon#802,Language,2
Anon#835,Language,2
Anon#835,Math,2
Anon#835,Reading,2
Anon#839,Reading,2
Anon#875,Math,2
Anon#875,Reading,2
Anon#928,Science,2
Anon#957,Language,2
Anon#957,Math,2
Anon#957,Reading,2
Anon#961,Language,2
Anon#961,Math,2
Anon#961,Reading,2
Anon#987,Language,2
Anon#987,Reading,2
Anon#993,Language,2
Anon#993,Math,2
Anon#993,Science,2
Anon#1091,Language,2
Anon#1091,Math,2
Anon#1091,Reading,2
Anon#1217,Language,2
Anon#1289,Reading,2
Anon#1320,Language,2
Anon#1320,Math,2
Anon#1331,Reading,2
Anon#1331,Science,2
Anon#1345,Language,2
Anon#1378,Reading,2
Anon#1445,Reading,2
Anon#1473,Reading,2
Anon#1495,Language,2
Anon#1517,Language,2
Anon#1517,Math,2
Anon#1517,Reading,2
Anon#1565,Reading,2
Anon#1629,Language,2
Anon#1629,Math,2
Anon#1629,Reading,2
Anon#1630,Reading,2
Anon#1637,Language,2
Anon#1637,Math,2
Anon#1690,Reading,2
Anon#1706,Math,2
Anon#1768,Language,2
Anon#1770,Math,2
Anon#1781,Language,2
Anon#1781,Math,2
Anon#1828,Math,2
Anon#1828,Reading,2
Anon#1874,Science,2
Anon#1883,Language,2
Anon#1884,Language,2
Anon#1894,Math,2
Anon#1921,Math,2
Anon#1921,Science,2
Anon#2118,Language,2
Anon#2118,Reading,2
Anon#2285,Language,2
Anon#2285,Math,2
Anon#2285,Reading,2
