"﻿""Student""",Subject,Course,Week,Minutes,Accuracy,Mastered Lessons
Anon#035,Language,Language Arts - 7,2025-07-18 00:00:00,5.15,1,0
Anon#035,Science,Middle School Science,2025-07-23 00:00:00,1.13,1,1
Anon#035,Science,Middle School Science,2025-07-24 00:00:00,2.99,0.8,1
Anon#035,Science,Science - 5,2025-07-22 00:00:00,0,1,1
Anon#035,Science,Science - 6,2025-07-18 00:00:00,88,0.8369565217391305,3
Anon#035,Science,Science - 6,2025-07-19 00:00:00,12.83,0.6111111111111112,0
Anon#035,Science,Science - 6,2025-07-20 00:00:00,0,1,1
Anon#035,Science,Science - 6,2025-07-21 00:00:00,6.22,0.8,0
Anon#035,Science,Science - 6,2025-07-22 00:00:00,0,0.7142857142857143,1
Anon#035,Science,Science - 6,2025-07-23 00:00:00,0,0.9375,1
Anon#035,Science,Science - 6,2025-07-24 00:00:00,0,1,2
Anon#035,Science,Science - 7,2025-07-22 00:00:00,0,0.7741935483870968,2
Anon#035,Science,Science - 7,2025-07-23 00:00:00,44.39,0.8372093023255814,3
Anon#035,Science,Science - 7,2025-07-24 00:00:00,0,0.8202247191011236,3
Anon#035,Science,Science - 8,2025-07-20 00:00:00,9.56,0.8461538461538461,0
Anon#035,Science,Science - 8,2025-07-22 00:00:00,88.84,0.8852459016393442,4
Anon#035,Science,Science - 8,2025-07-23 00:00:00,0,0.7142857142857143,0
Anon#035,Science,Science - 8,2025-07-24 00:00:00,0,1,1
Anon#035,Science,Science - Others,2025-07-24 00:00:00,101.19,0.6239316239316239,1
Anon#043,Language,Language Arts - 2,2025-07-20 00:00:00,23.82,0.7808219178082192,2
Anon#043,Language,Language Arts - 2,2025-07-22 00:00:00,29.51,0.5915492957746479,1
Anon#043,Language,Language Arts - 2,2025-07-23 00:00:00,20.17,0.7346938775510204,1
Anon#043,Language,Language Arts - 2,2025-07-24 00:00:00,16.97,0.46153846153846156,0
Anon#043,Math,Math - 3,2025-07-18 00:00:00,11.55,0.8,0
Anon#043,Math,Math - 3,2025-07-19 00:00:00,57.03,0.6666666666666666,1
Anon#043,Math,Math - 3,2025-07-20 00:00:00,29.46,0.896551724137931,2
Anon#043,Math,Math - 3,2025-07-21 00:00:00,8.52,0.6,0
Anon#043,Math,Math - 3,2025-07-22 00:00:00,47.98,0.5277777777777778,0
Anon#043,Math,Math - 3,2025-07-23 00:00:00,38.73,0.6964285714285714,1
Anon#043,Math,Math - 3,2025-07-24 00:00:00,39.03,0.625,0
Anon#043,Reading,Lalilo,2025-07-18 00:00:00,14.07,0.5588235294117647,0
Anon#043,Reading,Lalilo,2025-07-20 00:00:00,40.87,0.8041237113402062,2
Anon#043,Reading,Lalilo,2025-07-21 00:00:00,20.87,0.2631578947368421,1
Anon#043,Reading,Lalilo,2025-07-22 00:00:00,26.6,0.8961038961038961,3
Anon#043,Reading,Lalilo,2025-07-23 00:00:00,30.58,0.8837209302325582,4
Anon#043,Reading,Lalilo,2025-07-24 00:00:00,28.73,0.8767123287671232,3
Anon#045,Reading,1051L-1200L,2025-07-20 00:00:00,0,0.5384615384615384,0
Anon#045,Reading,1051L-1200L,2025-07-21 00:00:00,0,0.8125,1
Anon#045,Reading,1201L-1350L,2025-07-18 00:00:00,39.48,0.8333333333333334,1
Anon#045,Reading,1201L-1350L,2025-07-19 00:00:00,75.15,0.8333333333333334,1
Anon#045,Reading,1201L-1350L,2025-07-21 00:00:00,44.59,0.9583333333333334,3
Anon#045,Reading,1201L-1350L,2025-07-23 00:00:00,114.99,0.7647058823529411,4
Anon#045,Reading,1201L-1350L,2025-07-24 00:00:00,89.47,0.7272727272727273,2
Anon#045,Reading,1351L-1500L,2025-07-18 00:00:00,0,0.875,1
Anon#045,Reading,1351L-1500L,2025-07-23 00:00:00,0,0.9375,2
Anon#045,Reading,1351L-1500L,2025-07-24 00:00:00,0,0.7142857142857143,0
Anon#045,Reading,1501L+,2025-07-24 00:00:00,0,1,1
Anon#045,Reading,601L-750L,2025-07-21 00:00:00,0,0.75,0
Anon#045,Reading,751L-900L,2025-07-19 00:00:00,0,0.9375,2
Anon#045,Reading,751L-900L,2025-07-20 00:00:00,0,0.9375,2
Anon#045,Reading,901L-1050L,2025-07-19 00:00:00,0,1,1
Anon#045,Reading,901L-1050L,2025-07-20 00:00:00,86.48,0.7777777777777778,2
Anon#045,Reading,901L-1050L,2025-07-21 00:00:00,0,0.75,0
Anon#051,Math,Math - 7,2025-07-23 00:00:00,2.33,,0
Anon#068,Math,Mathacademy,2025-07-18 00:00:00,0,0.9,3
Anon#068,Math,Mathacademy,2025-07-21 00:00:00,0,0.7222222222222222,4
Anon#068,Math,Mathacademy,2025-07-22 00:00:00,0,1,1
Anon#070,Math,Math - 7,2025-07-23 00:00:00,12.95,1,0
Anon#090,Math,Grade 6,2025-07-18 00:00:00,17.2,1,0
Anon#090,Math,Grade 6,2025-07-19 00:00:00,30.29,1,0
Anon#090,Math,Grade 6,2025-07-21 00:00:00,33.54,0.86,0
Anon#090,Math,Grade 6,2025-07-22 00:00:00,10.26,1,0
Anon#090,Math,Grade 6,2025-07-23 00:00:00,13.55,0.8,0
Anon#090,Math,Grade 7,2025-07-24 00:00:00,23.32,0.9333333333333333,2
Anon#096,Math,Grade 3,2025-07-18 00:00:00,64.95,0.8888888888888888,0
Anon#096,Math,Grade 3,2025-07-19 00:00:00,64.14,0.8148148148148148,0
Anon#096,Math,Grade 3,2025-07-20 00:00:00,51.63,0.8076923076923077,2
Anon#096,Math,Grade 3,2025-07-21 00:00:00,55.02,0.72,0
Anon#096,Math,Grade 3,2025-07-22 00:00:00,94.97,0.8076923076923077,0
Anon#096,Math,Grade 3,2025-07-23 00:00:00,104.68,0.9259259259259259,2
Anon#096,Math,Grade 3,2025-07-24 00:00:00,116.57,0.78125,1
Anon#098,Math,Grade 4,2025-07-20 00:00:00,0,1,0
Anon#098,Math,Grade 6,2025-07-18 00:00:00,24.98,,0
Anon#098,Math,Grade 6,2025-07-19 00:00:00,0,,0
Anon#098,Math,Grade 6,2025-07-24 00:00:00,0,0.8888888888888888,0
Anon#098,Math,Grade 7,2025-07-19 00:00:00,28.07,0.8461538461538461,2
Anon#098,Math,Grade 7,2025-07-20 00:00:00,31.28,0.9230769230769231,2
Anon#098,Math,Grade 7,2025-07-21 00:00:00,40.16,0.25,0
Anon#098,Math,Grade 7,2025-07-22 00:00:00,29.7,0.6363636363636364,1
