"﻿""Campus""",Level,Student,Subject,Minutes/Session (CUSTOM)
Austin K-8,L1,Anon#057,Reading,1
Austin K-8,L1,Anon#104,Math,23
Austin K-8,L1,Anon#137,Reading,60
Austin K-8,L1,Anon#374,Math,121
Austin K-8,L1,Anon#462,Language,88.2
Austin K-8,L1,Anon#462,Math,0
Austin K-8,L1,Anon#462,Science,0
Austin K-8,L1,Anon#522,Math,0
Austin K-8,L1,Anon#522,Reading,23
Austin K-8,L1,Anon#522,Science,40
Austin K-8,L1,Anon#778,Reading,22.833333333333332
Austin K-8,L1,Anon#875,Language,8
Austin K-8,L1,Anon#875,Reading,8
Austin K-8,L1,Anon#875,Science,20.5
Austin K-8,L1,Anon#993,Language,0
Austin K-8,L1,Anon#993,Math,0
Austin K-8,L1,Anon#1326,Language,59
Austin K-8,L1,Anon#1326,Science,5
Austin K-8,L1,Anon#1387,Language,0
Austin K-8,L1,Anon#1387,Math,0
Austin K-8,L1,Anon#1387,Science,1
Austin K-8,L2,Anon#224,Math,15.25
Austin K-8,L2,Anon#224,Reading,0
Austin K-8,L2,Anon#336,Math,53
Austin K-8,L2,Anon#336,Science,15.75
Austin K-8,L2,Anon#345,Science,28
Austin K-8,L2,Anon#450,Language,41
Austin K-8,L2,Anon#450,Math,23
Austin K-8,L2,Anon#450,Science,59.5
Austin K-8,L2,Anon#510,Math,13.5
Austin K-8,L2,Anon#510,Science,15.5
Austin K-8,L2,Anon#588,Math,24
Austin K-8,L2,Anon#612,Language,0
Austin K-8,L2,Anon#612,Math,42.25
Austin K-8,L2,Anon#612,Science,3
Austin K-8,L2,Anon#612,Writing,4
Austin K-8,L2,Anon#640,Math,33
Austin K-8,L2,Anon#843,Language,38
Austin K-8,L2,Anon#843,Math,55
Austin K-8,L2,Anon#1091,Math,2
Austin K-8,L2,Anon#1093,Language,15.333333333333334
Austin K-8,L2,Anon#1093,Math,12.5
Austin K-8,L2,Anon#1093,Reading,13
Austin K-8,L2,Anon#1093,Science,2
Austin K-8,L2,Anon#1705,Math,92.66666666666667
Austin K-8,L2,Anon#1807,Language,3
Austin K-8,L2,Anon#1807,Math,9.666666666666666
Austin K-8,L2,Anon#1807,Reading,12.666666666666666
Austin K-8,L2,Anon#1807,Science,6
Austin K-8,L2,Anon#1921,Language,9
Austin K-8,L2,Anon#1921,Math,65
Austin K-8,L2,Anon#1921,Reading,14
Austin K-8,L2,Anon#1921,Science,19
Austin K-8,L3,Anon#035,Language,5
Austin K-8,L3,Anon#035,Science,75.28571428571429
Austin K-8,L3,Anon#045,Reading,74.83333333333333
Austin K-8,L3,Anon#322,Math,0
Austin K-8,L3,Anon#634,Math,1
Austin K-8,L3,Anon#710,Language,21
Austin K-8,L3,Anon#710,Math,0
Austin K-8,L3,Anon#710,Science,16.333333333333332
Austin K-8,L3,Anon#810,Science,0
Austin K-8,L3,Anon#939,Math,36
Austin K-8,L3,Anon#1064,Math,24
Austin K-8,L3,Anon#1100,Language,16.5
Austin K-8,L3,Anon#1100,Math,44.8
Austin K-8,L3,Anon#1100,Reading,0
Austin K-8,L3,Anon#1803,Math,71.33333333333333
Austin K-8,L3,Anon#1803,Science,43.666666666666664
Austin K-8,L3,Anon#1832,Language,12.25
Austin K-8,L3,Anon#1832,Math,132.75
Austin K-8,L3,Anon#1832,Reading,27
Austin K-8,L3,Anon#1832,Science,2
Austin K-8,L3,Anon#2409,Math,63.5
Austin K-8,L3,Anon#2409,Science,19
Austin K-8,LL,Anon#708,Language,0
Austin K-8,LL,Anon#708,Math,37
Austin K-8,LL,Anon#708,Reading,15
Brownsville K-8,Linc,Anon#384,Language,29
Brownsville K-8,Linc,Anon#791,Reading,16
Single-user 2hr learning,L1,Anon#043,Language,22.75
Single-user 2hr learning,L1,Anon#043,Math,34
Single-user 2hr learning,L1,Anon#043,Reading,27.166666666666668
Single-user 2hr learning,L1,Anon#153,Language,74
Single-user 2hr learning,L1,Anon#153,Math,1.5
Single-user 2hr learning,L1,Anon#153,Science,6
Single-user 2hr learning,L1,Anon#846,Language,10
Single-user 2hr learning,L1,Anon#846,Math,46
Single-user 2hr learning,L1,Anon#846,Reading,46
Single-user 2hr learning,L1,Anon#846,Science,13.5
Single-user 2hr learning,L1,Anon#1046,Language,9
Single-user 2hr learning,L1,Anon#1046,Math,10.5
Single-user 2hr learning,L1,Anon#1046,Reading,15
Single-user 2hr learning,L1,Anon#1237,Language,13.5
Single-user 2hr learning,L1,Anon#1237,Math,17
Single-user 2hr learning,L1,Anon#1901,Math,2
Single-user 2hr learning,L1,Anon#1920,Language,16.333333333333332
Single-user 2hr learning,L1,Anon#1920,Math,52.5
Single-user 2hr learning,L1,Anon#1920,Reading,26
Single-user 2hr learning,L1,Anon#1920,Science,20.75
Single-user 2hr learning,L1,Anon#2193,Language,2
Single-user 2hr learning,L1,Anon#2193,Math,4
Single-user 2hr learning,L1,Anon#2193,Science,12.5
Single-user 2hr learning,L1,Anon#2312,Language,11
Single-user 2hr learning,L1,Anon#2312,Math,22
Single-user 2hr learning,L1,Anon#2312,Reading,5.5
Single-user 2hr learning,L1,Anon#2312,Science,43
Single-user 2hr learning,L2,Anon#306,Language,0
Single-user 2hr learning,L2,Anon#306,Math,27
Single-user 2hr learning,L2,Anon#306,Reading,18
Single-user 2hr learning,L2,Anon#306,Science,9.2
Single-user 2hr learning,L2,Anon#397,Language,18.5
Single-user 2hr learning,L2,Anon#397,Math,39.5
Single-user 2hr learning,L2,Anon#397,Reading,5.5
Single-user 2hr learning,L2,Anon#397,Science,16.8
Single-user 2hr learning,L2,Anon#783,Language,32.857142857142854
Single-user 2hr learning,L2,Anon#783,Math,62
Single-user 2hr learning,L2,Anon#783,Reading,60
Single-user 2hr learning,L2,Anon#859,Language,1.6666666666666667
Single-user 2hr learning,L2,Anon#859,Math,3.75
Single-user 2hr learning,L2,Anon#859,Reading,4.4
Single-user 2hr learning,L2,Anon#859,Science,2
Single-user 2hr learning,L2,Anon#1073,Language,15
Single-user 2hr learning,L2,Anon#1073,Math,7
Single-user 2hr learning,L2,Anon#1073,Reading,11
Single-user 2hr learning,L2,Anon#1073,Science,11
Single-user 2hr learning,L2,Anon#1099,Language,25
Single-user 2hr learning,L2,Anon#1099,Math,179
Single-user 2hr learning,L2,Anon#1099,Reading,20.5
Single-user 2hr learning,L2,Anon#1099,Science,11
Single-user 2hr learning,L2,Anon#1587,Language,8.666666666666666
Single-user 2hr learning,L2,Anon#1587,Math,6.5
Single-user 2hr learning,L2,Anon#1587,Reading,5.666666666666667
Single-user 2hr learning,L2,Anon#1587,Science,8.5
Single-user 2hr learning,L2,Anon#1897,Language,17.75
Single-user 2hr learning,L2,Anon#1897,Math,28
Single-user 2hr learning,L2,Anon#1897,Reading,32
Single-user 2hr learning,L2,Anon#1897,Science,13.5
Single-user 2hr learning,L2,Anon#1981,Language,5
Single-user 2hr learning,L2,Anon#1981,Math,6.25
Single-user 2hr learning,L2,Anon#1981,Reading,10.666666666666666
Single-user 2hr learning,L2,Anon#1981,Science,4.666666666666667
Single-user 2hr learning,L2,Anon#2092,Language,11.333333333333334
Single-user 2hr learning,L2,Anon#2092,Math,20
Single-user 2hr learning,L2,Anon#2092,Science,8.333333333333334
Single-user 2hr learning,L3,Anon#285,Language,35.25
Single-user 2hr learning,L3,Anon#285,Math,37
Single-user 2hr learning,L3,Anon#285,Reading,39.6
Single-user 2hr learning,L3,Anon#285,Science,5
Single-user 2hr learning,L3,Anon#1445,Math,42.2
Single-user 2hr learning,L3,Anon#1445,Science,30.666666666666668
Single-user 2hr learning,L3,Anon#1903,Language,39.25
Single-user 2hr learning,L3,Anon#1903,Math,119
Single-user 2hr learning,L3,Anon#1903,Reading,74.33333333333333
Single-user 2hr learning,L3,Anon#1903,Science,6.333333333333333
Single-user 2hr learning,L3,Anon#2119,Math,1
Single-user 2hr learning,L3,Anon#2119,Reading,0
Single-user 2hr learning,Linc,Anon#367,Math,3
Single-user 2hr learning,Linc,Anon#367,Reading,1
Single-user 2hr learning,Linc,Anon#392,Language,41.2
Single-user 2hr learning,Linc,Anon#392,Math,86.75
Single-user 2hr learning,Linc,Anon#392,Reading,27.5
Single-user 2hr learning,Linc,Anon#392,Science,30.5
Single-user 2hr learning,Linc,Anon#1154,Language,12.5
Single-user 2hr learning,Linc,Anon#1154,Math,11.5
Single-user 2hr learning,Linc,Anon#1154,Reading,27.5
Sports Academy: Lakeway,L1,Anon#996,Language,27
Sports Academy: Lakeway,L1,Anon#996,Science,1
Sports Academy: Lakeway,L1,Anon#2402,Language,29.5
Sports Academy: Lakeway,L1,Anon#2402,Math,23.25
Sports Academy: Lakeway,L1,Anon#2402,Reading,19.666666666666668
Sports Academy: Lakeway,L2,Anon#051,Math,3.5
Sports Academy: Lakeway,L2,Anon#051,Reading,0
