,Campus,Level,Age Grade,Student,Subject,Spring 23-24 RIT Score,Fall 24-25 RIT Score,Winter 24-25 RIT Score,Spring 2425 RIT Score [max if multiple available]
1209,Alpha Miami,L1,3,Anon#254,Reading,,,,222.0
1209,Alpha Miami,L1,3,Anon#254,Math,,,,217.0
1209,Alpha Miami,L1,3,Anon#254,Language,,,,222.0
1209,Alpha Miami,L1,3,Anon#254,Science,,,,213.0
0896,Alpha Miami,L1,4,Anon#1062,Reading,,,209,214.0
0896,Alpha Miami,L1,4,Anon#1062,Math,,,201,203.0
0896,Alpha Miami,L1,4,Anon#1062,Language,,,202,204.0
0896,Alpha Miami,L1,4,Anon#1062,Science,,,211,207.0
0741,Alpha Miami,L1,3,Anon#1332,Reading,,176,190,201.0
0741,Alpha Miami,L1,3,Anon#1332,Math,,185,199,205.0
0741,Alpha Miami,L1,3,Anon#1332,Language,,172,188,187.0
0741,Alpha Miami,L1,3,Anon#1332,Science,,183,191,187.0
0717,Alpha Miami,L2,6,Anon#309,Reading,,224,229,234.0
0717,Alpha Miami,L2,6,Anon#309,Math,,220,232,244.0
0717,Alpha Miami,L2,6,Anon#309,Language,,217,230,231.0
0717,Alpha Miami,L2,6,Anon#309,Science,,212,220,222.0
0743,Alpha Miami,L2,5,Anon#983,Reading,,231,229,229.0
0743,Alpha Miami,L2,5,Anon#983,Math,,216,221,225.0
0743,Alpha Miami,L2,5,Anon#983,Language,,225,230,224.0
0743,Alpha Miami,L2,5,Anon#983,Science,,219,222,228.0
1224,Alpha Miami,L2,5,Anon#1698,Reading,,,,222.0
1224,Alpha Miami,L2,5,Anon#1698,Math,,,,236.0
1224,Alpha Miami,L2,5,Anon#1698,Language,,,,
1224,Alpha Miami,L2,5,Anon#1698,Science,,,,
0772,Alpha Miami,L3,7,Anon#1726,Reading,,234,234,238.0
0772,Alpha Miami,L3,7,Anon#1726,Math,,226,231,231.0
0772,Alpha Miami,L3,7,Anon#1726,Language,,226,231,241.0
0772,Alpha Miami,L3,7,Anon#1726,Science,,206,215,215.0
0734,Alpha Miami,L3,8,Anon#2098,Reading,,235,237,249.0
0734,Alpha Miami,L3,8,Anon#2098,Math,,220,244,252.0
0734,Alpha Miami,L3,8,Anon#2098,Language,,223,236,239.0
0734,Alpha Miami,L3,8,Anon#2098,Science,,218,228,233.0
0853,Alpha Miami,LL,K,Anon#1015,Reading,,,145,161.0
0853,Alpha Miami,LL,K,Anon#1015,Math,,,146,166.0
0742,Alpha Miami,LL,1,Anon#1243,Reading,,152,157,178.0
0742,Alpha Miami,LL,1,Anon#1243,Math,,164,166,178.0
0838,Alpha Miami,LL,1,Anon#1350,Reading,,,175,185.0
0838,Alpha Miami,LL,1,Anon#1350,Math,,,181,197.0
0847,Alpha Miami,LL,K,Anon#1460,Reading,,,,
0847,Alpha Miami,LL,K,Anon#1460,Math,,,,
1229,Alpha Miami,LL,1,Anon#1680,Reading,,,,179.0
1229,Alpha Miami,LL,1,Anon#1680,Math,,,,187.0
0766,Alpha Miami,LL,K,Anon#1863,Reading,,147,167,164.0
0766,Alpha Miami,LL,K,Anon#1863,Math,,158,162,167.0
0692,Austin K-8,L1,3,Anon#057,Reading,,200,207,214.0
0692,Austin K-8,L1,3,Anon#057,Math,,200,211,212.0
0692,Austin K-8,L1,3,Anon#057,Language,,202,208,207.0
0692,Austin K-8,L1,3,Anon#057,Science,,195,216,204.0
0863,Austin K-8,L1,4,Anon#061,Reading,,,227,235.0
0863,Austin K-8,L1,4,Anon#061,Math,,,223,235.0
0863,Austin K-8,L1,4,Anon#061,Language,,,227,230.0
0863,Austin K-8,L1,4,Anon#061,Science,,,222,228.0
0397,Austin K-8,L1,3,Anon#104,Reading,215,217,217,220.0
0397,Austin K-8,L1,3,Anon#104,Math,199,200,207,210.0
0397,Austin K-8,L1,3,Anon#104,Language,216,207,217,220.0
0397,Austin K-8,L1,3,Anon#104,Science,194,,204,213.0
0561,Austin K-8,L1,4,Anon#137,Reading,212,207,222,225.0
0561,Austin K-8,L1,4,Anon#137,Math,205,200,221,220.0
0561,Austin K-8,L1,4,Anon#137,Language,199,197,216,218.0
0561,Austin K-8,L1,4,Anon#137,Science,197,196,209,214.0
0759,Austin K-8,L1,4,Anon#221,Reading,,223,234,239.0
0759,Austin K-8,L1,4,Anon#221,Math,,214,224,227.0
0759,Austin K-8,L1,4,Anon#221,Language,,223,233,233.0
0759,Austin K-8,L1,4,Anon#221,Science,,215,219,225.0
0758,Austin K-8,L1,4,Anon#223,Reading,,222,229,232.0
0758,Austin K-8,L1,4,Anon#223,Math,,206,220,227.0
0758,Austin K-8,L1,4,Anon#223,Language,,215,224,232.0
0758,Austin K-8,L1,4,Anon#223,Science,,203,220,220.0
0189,Austin K-8,L1,3,Anon#264,Reading,212,210,220,223.0
0189,Austin K-8,L1,3,Anon#264,Math,213,211,224,223.0
0189,Austin K-8,L1,3,Anon#264,Language,214,204,219,220.0
0189,Austin K-8,L1,3,Anon#264,Science,207,,214,219.0
0259,Austin K-8,L1,3,Anon#268,Reading,223,219,222,228.0
0259,Austin K-8,L1,3,Anon#268,Math,217,218,221,231.0
0259,Austin K-8,L1,3,Anon#268,Language,216,214,218,228.0
0259,Austin K-8,L1,3,Anon#268,Science,206,214,218,218.0
1225,Austin K-8,L1,3,Anon#359,Reading,,,,225.0
1225,Austin K-8,L1,3,Anon#359,Math,,,,231.0
1225,Austin K-8,L1,3,Anon#359,Language,,,,236.0
1225,Austin K-8,L1,3,Anon#359,Science,,,,222.0
0394,Austin K-8,L1,3,Anon#374,Reading,205,,216,222.0
0394,Austin K-8,L1,3,Anon#374,Math,182,181,197,204.0
0394,Austin K-8,L1,3,Anon#374,Language,184,193,209,209.0
0394,Austin K-8,L1,3,Anon#374,Science,201,,,201.0
0583,Austin K-8,L1,3,Anon#439,Reading,224,223,232,239.0
0583,Austin K-8,L1,3,Anon#439,Math,230,234,248,260.0
0583,Austin K-8,L1,3,Anon#439,Language,225,223,235,243.0
0583,Austin K-8,L1,3,Anon#439,Science,,213,227,225.0
0711,Austin K-8,L1,4,Anon#462,Reading,,210,217,215.0
0711,Austin K-8,L1,4,Anon#462,Math,,199,207,217.0
0711,Austin K-8,L1,4,Anon#462,Language,,203,205,223.0
0711,Austin K-8,L1,4,Anon#462,Science,,208,208,211.0
0634,Austin K-8,L1,3,Anon#522,Reading,204,206,213,224.0
0634,Austin K-8,L1,3,Anon#522,Math,202,202,214,220.0
0634,Austin K-8,L1,3,Anon#522,Language,199,200,208,212.0
0634,Austin K-8,L1,3,Anon#522,Science,197,,206,212.0
0672,Austin K-8,L1,3,Anon#524,Reading,,214,224,222.0
0672,Austin K-8,L1,3,Anon#524,Math,,209,222,232.0
0672,Austin K-8,L1,3,Anon#524,Language,,213,216,222.0
0672,Austin K-8,L1,3,Anon#524,Science,,206,221,218.0
0693,Austin K-8,L1,4,Anon#582,Reading,,198,218,219.0
0693,Austin K-8,L1,4,Anon#582,Math,,201,219,221.0
0693,Austin K-8,L1,4,Anon#582,Language,,198,213,226.0
0693,Austin K-8,L1,4,Anon#582,Science,,200,216,211.0
0144,Austin K-8,L1,4,Anon#606,Reading,225,218,230,239.0
0144,Austin K-8,L1,4,Anon#606,Math,219,206,217,231.0
0144,Austin K-8,L1,4,Anon#606,Language,221,213,226,235.0
0144,Austin K-8,L1,4,Anon#606,Science,219,214,225,225.0
0478,Austin K-8,L1,3,Anon#778,Reading,215,209,219,215.0
0478,Austin K-8,L1,3,Anon#778,Math,213,199,208,218.0
0478,Austin K-8,L1,3,Anon#778,Language,204,200,207,215.0
0478,Austin K-8,L1,3,Anon#778,Science,213,,211,223.0
0275,Austin K-8,L1,4,Anon#839,Reading,228,224,218,227.0
0275,Austin K-8,L1,4,Anon#839,Math,207,208,219,214.0
0275,Austin K-8,L1,4,Anon#839,Language,216,216,220,218.0
0275,Austin K-8,L1,4,Anon#839,Science,210,207,211,214.0
1211,Austin K-8,L1,3,Anon#875,Reading,,,218,232.0
1211,Austin K-8,L1,3,Anon#875,Math,,,226,238.0
1211,Austin K-8,L1,3,Anon#875,Language,,,,227.0
1211,Austin K-8,L1,3,Anon#875,Science,,,,228.0
0584,Austin K-8,L1,3,Anon#922,Reading,217,207,220,229.0
0584,Austin K-8,L1,3,Anon#922,Math,209,213,220,226.0
0584,Austin K-8,L1,3,Anon#922,Language,209,213,214,224.0
0584,Austin K-8,L1,3,Anon#922,Science,211,208,212,223.0
0475,Austin K-8,L1,4,Anon#993,Reading,220,223,232,229.0
0475,Austin K-8,L1,4,Anon#993,Math,227,218,232,242.0
0475,Austin K-8,L1,4,Anon#993,Language,221,215,227,230.0
0475,Austin K-8,L1,4,Anon#993,Science,216,211,218,232.0
0617,Austin K-8,L1,4,Anon#1156,Reading,,210,217,
0617,Austin K-8,L1,4,Anon#1156,Math,,208,216,
0617,Austin K-8,L1,4,Anon#1156,Language,,210,211,
0617,Austin K-8,L1,4,Anon#1156,Science,,207,215,
2595,Austin K-8,L1,3,Anon#1221,Reading,,,,
2595,Austin K-8,L1,3,Anon#1221,Math,,,,
2595,Austin K-8,L1,3,Anon#1221,Language,,,,
2595,Austin K-8,L1,3,Anon#1221,Science,,,,
0474,Austin K-8,L1,4,Anon#1326,Reading,198,198,210,214.0
0474,Austin K-8,L1,4,Anon#1326,Math,209,212,219,221.0
0474,Austin K-8,L1,4,Anon#1326,Language,191,206,202,209.0
0474,Austin K-8,L1,4,Anon#1326,Science,214,208,207,212.0
2521,Anon#001,Anon#001,Anon#001,Anon#001,Reading,,,,
2521,Anon#001,Anon#001,Anon#001,Anon#001,Math,,,,
2521,Anon#001,Anon#001,Anon#001,Anon#001,Language,,,,
1866,Austin K-8,L1,4,Anon#1385,Reading,,,,
1866,Austin K-8,L1,4,Anon#1385,Math,,,,
1866,Austin K-8,L1,4,Anon#1385,Language,,,,
1866,Austin K-8,L1,4,Anon#1385,Science,,,,
0239,Austin K-8,L1,3,Anon#1473,Reading,224,219,225,228.0
0239,Austin K-8,L1,3,Anon#1473,Math,210,210,217,225.0
0239,Austin K-8,L1,3,Anon#1473,Language,221,209,217,221.0
0239,Austin K-8,L1,3,Anon#1473,Science,219,,225,229.0
0130,Austin K-8,L1,4,Anon#1525,Reading,221,215,230,228.0
0130,Austin K-8,L1,4,Anon#1525,Math,210,209,215,214.0
0130,Austin K-8,L1,4,Anon#1525,Language,212,211,229,216.0
0130,Austin K-8,L1,4,Anon#1525,Science,219,208,219,219.0
0368,Austin K-8,L1,2,Anon#1781,Reading,211,203,211,217.0
0368,Austin K-8,L1,2,Anon#1781,Math,216,213,219,231.0
0368,Austin K-8,L1,2,Anon#1781,Language,204,201,208,223.0
0368,Austin K-8,L1,2,Anon#1781,Science,,,202,214.0
0300,Austin K-8,L1,3,Anon#1986,Reading,231,230,234,236.0
0300,Austin K-8,L1,3,Anon#1986,Math,228,222,233,245.0
0300,Austin K-8,L1,3,Anon#1986,Language,232,235,244,245.0
0300,Austin K-8,L1,3,Anon#1986,Science,222,226,228,232.0
0150,Austin K-8,L1,4,Anon#2118,Reading,221,229,236,232.0
0150,Austin K-8,L1,4,Anon#2118,Math,231,228,243,256.0
0150,Austin K-8,L1,4,Anon#2118,Language,224,226,229,231.0
0150,Austin K-8,L1,4,Anon#2118,Science,214,216,222,235.0
